# Time-averaged data for fix f5
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
100000 2000
850 6.37125 1.19346 31.9332
851 6.37875 1.18591 32.0698
852 6.38625 1.1838 32.2066
853 6.39375 1.17252 32.3423
854 6.40125 1.18331 32.4797
855 6.40875 1.17812 32.6167
856 6.41625 1.1888 32.7553
857 6.42375 1.17015 32.8921
858 6.43125 1.17919 33.0302
859 6.43875 1.1692 33.1675
860 6.44625 1.17424 33.3057
861 6.45375 1.16652 33.4433
862 6.46125 1.16166 33.5807
863 6.46875 1.15946 33.7181
864 6.47625 1.16099 33.856
865 6.48375 1.15584 33.9936
866 6.49125 1.15527 34.1315
867 6.49875 1.15581 34.2697
868 6.50625 1.158 34.4086
869 6.51375 1.14769 34.5465
870 6.52125 1.14178 34.684
871 6.52875 1.15087 34.8229
872 6.53625 1.14403 34.9614
873 6.54375 1.14676 35.1005
874 6.55125 1.15079 35.2403
875 6.55875 1.13857 35.3791
876 6.56625 1.13383 35.5175
877 6.57375 1.12709 35.6555
878 6.58125 1.13602 35.7948
879 6.58875 1.12356 35.933
880 6.59625 1.13279 36.0726
881 6.60375 1.11846 36.2107
882 6.61125 1.11763 36.3491
883 6.61875 1.13225 36.4896
884 6.62625 1.11175 36.6278
885 6.63375 1.10887 36.766
886 6.64125 1.10808 36.9044
887 6.64875 1.09719 37.0418
888 6.65625 1.1138 37.1816
889 6.66375 1.09751 37.3196
890 6.67125 1.10589 37.459
891 6.67875 1.10071 37.5981
892 6.68625 1.09954 37.7373
893 6.69375 1.09339 37.876
894 6.70125 1.09008 38.0147
895 6.70875 1.092 38.1539
896 6.71625 1.08641 38.2927
897 6.72375 1.08139 38.4311
898 6.73125 1.07868 38.5696
899 6.73875 1.07543 38.7079
900 6.74625 1.06301 38.8449
901 6.75375 1.06068 38.9819
902 6.76125 1.07254 39.1208
903 6.76875 1.07119 39.2598
904 6.77625 1.06539 39.3984
905 6.78375 1.06675 39.5374
906 6.79125 1.05492 39.6752
907 6.79875 1.06092 39.8141
908 6.80625 1.05123 39.952
909 6.81375 1.05402 40.0906
910 6.82125 1.05485 40.2296
911 6.82875 1.04023 40.367
912 6.83625 1.04276 40.505
913 6.84375 1.03467 40.6423
914 6.85125 1.03923 40.7804
915 6.85875 1.03995 40.919
916 6.86625 1.03071 41.0566
917 6.87375 1.0364 41.1953
918 6.88125 1.03811 41.3345
919 6.88875 1.02957 41.4729
920 6.89625 1.03592 41.6125
